塞翁却忧虑地说：白白得了一匹好马，不一定是什么福气，也许会惹出什么麻烦来！	sāiwēngquèyōulv̀dìshuō：báibáidéleyīpǐhǎomǎ，bùyīdìngshìshíyāofúqì，yěxǔhùirěchūshíyāomáfánlái！	Sai Weng was worried and said: vain got a good horse, not necessarily what a blessing, might stir up any trouble coming!
匈奴指战国时游牧于燕、赵、秦以北地区的族名。	xiōngnúzhǐzhànguóshíyóumùyúyàn、zhào、qínyǐběidìqūdezúmíng。	Hun nomadic family name Yan, Zhao and Qin north of the region when referring to the Warring States Period.
.塞翁的马失而复得了吗？	.sāiwēngdemǎshīérfùdélema？	. Saiweng horse recovered yet?
是的，他丢的马不仅回到了家，而且还带回一匹马。	shìde，tādīudemǎbùjǐnhúidàolejiā，érqiěhuándàihúiyīpǐmǎ。	Yes, he not only lost the horse back home, but also brought back a horse.
塞翁对此有什么感受？	sāiwēngdùicǐyǒushíyāogǎnshòu？	Frontiersman this feel?
是高兴还是忧虑？	shìgāoxīnghuánshìyōulv̀？	I am happy or worried?
他感到忧虑。	tāgǎndàoyōulv̀。	He worried.
他觉得不一定是福气，也许会惹出祸来。	tājuédébùyīdìngshìfúqì，yěxǔhùirěchūhuòlái。	He felt that is not necessarily a blessing, might stir up mischief.
塞翁有个独生子，非常喜欢骑马。	sāiwēngyǒugèdúshēngzǐ，fēichángxǐhuānqímǎ。	There is a blessing only son is very fond of horse riding.
他发现带回来的那匹马顾盼生姿，身长蹄大，嘶鸣嘹亮，剽悍神骏，一看就知道是匹好马。	tāfāxiàndàihúiláidenàpǐmǎgùpànshēngzī，shēnchángtídà，sīmíngliáoliàng，piàohànshénjùn，yīkànjìuzhīdàoshìpǐhǎomǎ。	He found that brought back the horse stare and colorful, large hoof length, scream loud and clear, swift and fierce Horse, to see that this is a good horse.
他每天都骑马出游，心中洋洋得意。	tāměitiāndūqímǎchūyóu，xīnzhōngyángyángdéyì。	He trips on horseback every day, hearts triumphantly.
谁每天都骑那匹匈奴的马出游？	shúiměitiāndūqínàpǐxiōngnúdemǎchūyóu？	Who are riding a horse Hun day horse trips?
塞翁的儿子。	sāiwēngdeérzǐ。	Frontiersman's son.
一天，他高兴得有些过火，打马飞奔，一个趔趄，从马背上跌下来，摔断了腿。	yītiān，tāgāoxīngdéyǒuxiēguòhuǒ，dǎmǎfēibēn，yīgèlièjū，cóngmǎbèishàngdiēxiàlái，shuāiduànletǔi。	One day, he was happy to have gone too far, the horse gallop, a reel, fell down from a horse and broke his leg.
邻居们听说后，纷纷前来慰问。	línjūmentīngshuōhòu，fēnfēnqiánláiwèiwèn。	After neighbors heard, they have come condolences.
塞翁说：没什么，腿摔断了却保住了性命，或许是福气呢！	sāiwēngshuō：méishíyāo，tǔishuāiduànlequèbǎozhùlexìngmìng，huòxǔshìfúqìní！	Sai Weng said: Nothing, broke his leg was saved their lives, perhaps it is a blessing!
邻居们不能理解，实在想不出摔断腿会带来什么福气？	línjūmenbùnénglǐjiě，shízàixiǎngbùchūshuāiduàntǔihùidàiláishíyāofúqì？	The neighbors can not understand, can not imagine what broke his leg will bring good fortune?
趔趄指身体歪斜，脚步不稳。	lièjūzhǐshēntǐwāixié，jiǎobùbùwěn。	Stagger skew refers to the body, the pace of instability.
塞翁的儿子骑马摔死了吗？	sāiwēngdeérzǐqímǎshuāisǐlema？	Frontiersman son riding his death yet?
没有，但他摔断了腿。	méiyǒu，dàntāshuāiduànletǔi。	No, but he broke his leg.
塞翁为此很伤心吗？	sāiwēngwèicǐhěnshāngxīnma？	Frontiersman do this very sad right?
没有，他觉得儿子摔断了腿却保住了性命，也许是福气。	méiyǒu，tājuédéérzǐshuāiduànletǔiquèbǎozhùlexìngmìng，yěxǔshìfúqì。	No, he felt his son broke his leg was saved their lives, perhaps a blessing.
• 不久，匈奴兵大举入侵，所有青壮年都被应征入伍。	• bùjǐu，xiōngnúbīngdàjǔrùqīn，suǒyǒuqīngzhuàngniándūbèiyìngzhēngrùwǔ。	• Soon, the invasion of the Huns soldiers, all young adults have been drafted into the army.
塞翁的儿子因为摔断了腿，不能去当兵。	sāiwēngdeérzǐyīnwèishuāiduànletǔi，bùnéngqùdāngbīng。	Sai Weng's son because of a broken leg, can not go to the army.
后来，入伍的人十有八九都战死了，唯独他的儿子因为腿摔断了的缘故，得以保全性命。	hòulái，rùwǔderénshíyǒubājǐudūzhànsǐle，wéidútādeérzǐyīnwèitǔishuāiduànledeyuángù，déyǐbǎoquánxìngmìng。	Later, enlisted man in all likelihood have died, with the exception of his son broke his leg because of the reason, to save their lives.
为什么所有青壮年都被应征入伍？	wèishíyāosuǒyǒuqīngzhuàngniándūbèiyìngzhēngrùwǔ？	Why are all young adults have been drafted into the army?
因为匈奴兵起兵侵入国境，国家需要军队打仗。	yīnwèixiōngnúbīngqǐbīngqīnrùguójìng，guójiāxūyàojūndùidǎzhàng。	Because Hun soldiers revolted invade borders, countries need to fight the army.
塞翁的儿子也入伍了吗？	sāiwēngdeérzǐyěrùwǔlema？	Frontiersman son enlisted yet?
没有，他因为腿摔断了的缘故不能去当兵。	méiyǒu，tāyīnwèitǔishuāiduànledeyuángùbùnéngqùdāngbīng。	No, he broke his leg because of the reason can not go to the army.
入伍的人下场如何？	rùwǔderénxiàchángrúhé？	How fate enlisted man?
他们大多数人都死了。	tāmendàduōshùréndūsǐle。	Most of them are dead.
• 所以福可变为祸，祸可变为福，这其中的变化难以捉摸，深不可测。	• suǒyǐfúkěbiànwèihuò，huòkěbiànwèifú，zhèqízhōngdebiànhuànányǐzhuōmō，shēnbùkěcè。	• So blessing variable havoc, disaster can become a blessing, which changes elusive, unfathomable.
难以捉摸指难以猜测或估量；深不可测指深得无法测量，比喻对事物的情况捉摸不透。	nányǐzhuōmōzhǐnányǐcāicèhuògūliàng；shēnbùkěcèzhǐshēndéwúfǎcèliàng，bǐyùdùishìwùdeqíngkuàngzhuōmōbùtòu。	Elusive means difficult to guess or estimate; unfathomable means the measure can not be won, a metaphor for the situation of things unpredictable.
怎么样？	zěnyāoyáng？	how about it?
你都回答正确了吗？	nǐdūhúidázhèngquèlema？	You have answered correctly yet?
即使没有也没关系，再多听几遍就好！	jíshǐméiyǒuyěméiguānxì，zàiduōtīngjībiànjìuhǎo！	Even without it does not matter, more like listening to a few times!
接下来，我们再说说这个成语带给我们的启示。	jiēxiàlái，wǒmenzàishuōshuōzhègèchéngyǔdàigěiwǒmendeqǐshì。	Next, we say that this phrase gives us inspiration.
塞翁失马，焉知非福，失指丢失；焉在中国文言文中有很多含义,比如在三人行，必有我师焉中就是作句尾助词，用来强调肯定的语气；在这里作疑问代词, 表示哪里、怎么（多用于反问句）。	sāiwēngshīmǎ，yānzhīfēifú，shīzhǐdīushī；yānzàizhōngguówényánwénzhōngyǒuhěnduōhányì,bǐrúzàisānrénxíng，bìyǒuwǒshīyānzhōngjìushìzuòjùwěizhùcí，yòngláiqiángdiàokěndìngdeyǔqì；zàizhèlǐzuòyíwèndàicí, biǎoshìnǎlǐ、zěnyāo（duōyòngyúfǎnwènjù）。	A blessing in disguise, blessing in disguise, loss refers to loss; Yan has many meanings in Chinese classical Chinese, for example, in three rows, must be my teacher in that for the end of the sentence particle, used to emphasize the positive tone; here as interrogative pronouns, where he said how (used for rhetorical questions).
反问句就是用疑问的句式，表达肯定的观点。	fǎnwènjùjìushìyòngyíwèndejùshì，biǎodákěndìngdeguāndiǎn。	Rhetorical questions is to use the sentence in question, expressed positive views.
反问句表面看来是疑问的形式，但实际上表达的是肯定的意思，答案就在问句之中。	fǎnwènjùbiǎomiànkànláishìyíwèndexíngshì，dànshíjìshàngbiǎodádeshìkěndìngdeyìsī，dáànjìuzàiwènjùzhīzhōng。	Seemingly rhetorical question in the form of questions, but in fact the meaning of the expression is yes, the answer is in the question.
反问的形式比一般的陈述句语气更加强烈，更能引起人们的深思。	fǎnwèndexíngshìbǐyībāndechénshùjùyǔqìgèngjiāqiángliè，gèngnéngyǐnqǐrénmendeshēnsī。	Asked in the form of more intense than the average declarative tone, arouse people's food for thought.
它是修辞手法中的一种。	tāshìxīucíshǒufǎzhōngdeyīzhǒng。	It is a rhetorical device in.
塞翁失马，焉知非福， 意思是：塞翁丢失了马，哪里知道不是福气呢？	sāiwēngshīmǎ，yānzhīfēifú， yìsīshì：sāiwēngdīushīlemǎ，nǎlǐzhīdàobùshìfúqìní？	A blessing in disguise, blessing in disguise , meaning: lost horse blessing, a blessing not know where it?
这里就是一个反问句，实际上是说塞翁丢失了马是一个福气。	zhèlǐjìushìyīgèfǎnwènjù，shíjìshàngshìshuōsāiwēngdīushīlemǎshìyīgèfúqì。	Here is a rhetorical question, actually lost a horse say blessing is a blessing.
这个成语告诫人们在遇到坏事时要保持乐观向上的心态，不能自暴自弃3，一蹶不振4。	zhègèchéngyǔgàojièrénmenzàiyùdàohuàishìshíyàobǎochílèguānxiàngshàngdexīntài，bùnéngzìbàozìqì3，yījuébùzhèn4。	This idiom warned that in the event of bad things to remain optimistic attitude, can not give up on themselves 3, 4 brought to its knees.
回到我们开头的例子：他到了机场才发现忘了带护照，只能眼睁睁地看着自己的航班起飞了。	húidàowǒmenkāitóudelìzǐ：tādàolejīchángcáifāxiànwàngledàihùzhào，zhǐnéngyǎnzhēngzhēngdìkànzháozìjǐdehángbānqǐfēile。	Back to the beginning of our example: to the airport only to find he forgot his passport, could only watch their flight took off.
在郁闷、懊悔了一天后却在新闻里看到那架他本该登上的飞机失事了。	zàiyùmèn、àohǔileyītiānhòuquèzàixīnwénlǐkàndàonàjiàtāběngāidēngshàngdefēijīshīshìle。	In depressed, regret a day after they saw the aircraft he should have boarded the plane crash on the news.
真是塞翁失马，焉知非福啊！	zhēnshìsāiwēngshīmǎ，yānzhīfēifúa！	Really a blessing in disguise, blessing in disguise ah!
　　这是一则真实的新闻，错过飞机本是件令人非常抓狂的事儿，浪费了很多钱的同时又误了事儿。	　　zhèshìyīzézhēnshídexīnwén，cuòguòfēijīběnshìjiànlìngrénfēichángzhuākuángdeshìér，làngfèilehěnduōqiándetóngshíyòuwùleshìér。	This is a real news, miss this aircraft is a very very crazy thing, wasting a lot of money at the same time missed the thing.
新闻里的主人公本觉得自己很倒霉，也为忘了护照而后悔不已。	xīnwénlǐdezhǔréngōngběnjuédézìjǐhěndǎoméi，yěwèiwànglehùzhàoérhòuhǔibùyǐ。	Press the hero of this feel very unlucky, but also to forget passport and regret.
没想到这次误机却使自己成为了唯一一个错过那班航班的幸运儿，成为了那架飞机乘客名单中唯一的幸存者。	méixiǎngdàozhècìwùjīquèshǐzìjǐchéngwèilewéiyīyīgècuòguònàbānhángbāndexìngyùnér，chéngwèilenàjiàfēijīchéngkèmíngdānzhōngwéiyīdexìngcúnzhě。	I did not expect this mistake while filling machine to become the only lucky to miss that class flight, the plane became the only survivor passenger list.
再让我们来看一个真实的例子。	zàiràngwǒmenláikànyīgèzhēnshídelìzǐ。	Let us look at a real example.
我有一个同事因为工作不开心就辞了职，天天闷闷不乐就准备回国发展。	wǒyǒuyīgètóngshìyīnwèigōngzuòbùkāixīnjìucílezhí，tiāntiānmènmènbùlèjìuzhǔnbèihúiguófāzhǎn。	I have a colleague working because it is not happy resigned, unhappy every day, ready to return to the development.
她的朋友听说后，告诉了她一个面试的机会。	tādepéngyǒutīngshuōhòu，gàosùletāyīgèmiànshìdejīhùi。	After her friends heard told her a chance to interview.
她抱着无所谓的态度去参加了面试，却得到了那份工作。	tābàozháowúsuǒwèidetàidùqùcānjiālemiànshì，quèdédàolenàfèngōngzuò。	She was holding indifferent attitude to participate in the interview, but got the job.
没想到那个职位和收入都比她原来的工作要好很多！	méixiǎngdàonàgèzhíwèihéshōurùdūbǐtāyuánláidegōngzuòyàohǎohěnduō！	I did not expect that much better jobs and income than her original work!
真是塞翁失马，焉知非福啊！	zhēnshìsāiwēngshīmǎ，yānzhīfēifúa！	Really a blessing in disguise, blessing in disguise ah!
你有没有没遇过类似的经历？	nǐyǒuméiyǒuméiyùguòlèisìdejīnglì？	Have you never come across a similar experience?
本期的讨论话题就是：说说你塞翁失马，焉知非福的事例。	běnqīdetǎolùnhuàtíjìushì：shuōshuōnǐsāiwēngshīmǎ，yānzhīfēifúdeshìlì。	The current topic of discussion is this: You talk about a blessing in disguise, blessing in disguise, the case.
欢迎来我们的 twitter 等社交平台告诉我你的答案！	huānyíngláiwǒmende twitter děngshèjiāopíngtáigàosùwǒnǐdedáàn！	Welcome to our twitter and other social networking platforms to tell me your answer!
他误了机却保全了性命，真是塞翁失马，焉知非福啊！	tāwùlejīquèbǎoquánlexìngmìng，zhēnshìsāiwēngshīmǎ，yānzhīfēifúa！	He missed the plane but preservation of their lives, is really a blessing in disguise, blessing in disguise ah!
怎么样，你喜欢这个成语故事吗？	zěnyāoyáng，nǐxǐhuānzhègèchéngyǔgùshìma？	How, do you like this idiom story?
希望它对你的人生有些许启发，希望在你遇到困难、在你人生低谷的时候能想到这个成语，要相信凡事都有两面性，暂时不好的事儿也许对长远来说并不是件坏事儿，而是有它发生的意义的，只是你暂时意识不到罢了！	xīwàngtādùinǐderénshēngyǒuxiēxǔqǐfā，xīwàngzàinǐyùdàokùnnán、zàinǐrénshēngdīgǔdeshíhòunéngxiǎngdàozhègèchéngyǔ，yàoxiāngxìnfánshìdūyǒuliǎngmiànxìng，zànshíbùhǎodeshìéryěxǔdùichángyuǎnláishuōbìngbùshìjiànhuàishìér，érshìyǒutāfāshēngdeyìyìde，zhǐshìnǐzànshíyìshìbùdàobàle！	Hope it slightly inspired by your life, I hope you encounter difficulties, low life when you can think of this phrase, to believe that everything has two sides, being a bad thing in the long run perhaps not a bad thing children, but its significance has happened, but you are not aware of being nothing more!
到这里，本期节目也迎来尾声了。	dàozhèlǐ，běnqījiémùyěyíngláiwěishēngle。	Here, this program also ushered in the end.
如果你觉得今天的节目对你的中文学习有帮助，别忘了关注我们的 facebook 主页、S potify，在 iTunes、S titcher 上给我们一个五星评价，以帮助更多想流利说中文却还没找到正确方法的朋友发现我们的节目。	rúguǒnǐjuédéjīntiāndejiémùdùinǐdezhōngwénxuéxíyǒubāngzhù，biéwàngleguānzhùwǒmende facebook zhǔyè、S potify，zài iTunes、S titcher shànggěiwǒmenyīgèwǔxīngpíngjià，yǐbāngzhùgèngduōxiǎnglíulìshuōzhōngwénquèhuánméizhǎodàozhèngquèfāngfǎdepéngyǒufāxiànwǒmendejiémù。	If you think today's program to help you learn the Chinese, do not forget to focus on our facebook page, S potify, to us on iTunes, S titcher a five-star rating, I would like to help more fluent Chinese but has not yet found friends found the right way of our program.
感谢你的举手之劳！	gǎnxiènǐdejǔshǒuzhīláo！	Thank you for your lifting a finger!
下期节目我们会说说中国的菜名。	xiàqījiémùwǒmenhùishuōshuōzhōngguódecàimíng。	Our next program we'll talk about the Chinese name of the dish.
感谢你的收听！	gǎnxiènǐdeshōutīng！	Thank you for listening!
咱们下期再见！	zánmenxiàqīzàijiàn！	Let's See you next time!
您正在收听的是：《自然而然说中文》，第二十九期：那些奇奇怪怪的菜名。	nínzhèngzàishōutīngdeshì：《zìránérránshuōzhōngwén》，dìèrshíjǐuqī：nàxiēqíqíguàiguàidecàimíng。	You're listening to: naturally speak Chinese, the second nineteen: those weird dish.
我是佳佳，你好吗？	wǒshìjiājiā，nǐhǎoma？	I'm Allison, how are you?
依照惯例提醒你可以去我们的 facebook 主页, wordpress 博客，twitter 及 pinterest 免费下载本期节目的文本。	yīzhàoguànlìtíxǐngnǐkěyǐqùwǒmende facebook zhǔyè, wordpress bókè，twitter jí pinterest miǎnfèixiàzàiběnqījiémùdewénběn。	By convention remind you can go to our facebook page, wordpress blog, twitter and pinterest free download text of this program.
夫妻肺片、撒尿牛丸、口水鸡……在去中餐厅吃饭的时候，你是不是常常被这些菜单上莫名其妙甚至有些吓人的菜名弄得一头雾水1呢？	fūqīfèipiàn、sāniàoníuwán、kǒushǔijī……zàiqùzhōngcāntīngchīfàndeshíhòu，nǐshìbùshìchángchángbèizhèxiēcàidānshàngmòmíngqímiàoshénzhìyǒuxiēxiàréndecàimíngnòngdéyītóuwùshǔi1ní？	Fuqifeipian pee beef balls, saliva chicken ...... When we go to eat in the restaurant, you are not often baffling and even some scary dish on the menu do not understand why 1?
别担心，今天我们就来说说中国的菜名。	biédànxīn，jīntiānwǒmenjìuláishuōshuōzhōngguódecàimíng。	Do not worry, we are concerned that today's Chinese name of the dish.
在第 6 期节目《中国的吃文化》中，我们曾提到过在中国录入菜谱的菜肴有 2 万 6 千种，那么如果每个菜肴的名字都很直白，比如西红柿炒鸡蛋、炒土豆丝……那岂不是很无趣？	zàidì 6 qījiémù《zhōngguódechīwénhuà》zhōng，wǒmencéngtídàoguòzàizhōngguólùrùcàipǔdecàiyáoyǒu 2 wàn 6 qiānzhǒng，nàyāorúguǒměigècàiyáodemíngzìdūhěnzhíbái，bǐrúxīhóngshìchǎojīdàn、chǎotǔdòusī……nàqǐbùshìhěnwúqù？	In the first six show China's eat culture we have mentioned input menu dishes are 20006 one thousand kinds in China, so if the name of each of the dishes are straightforward, such as tomatoes, scrambled eggs fried potatoes wire ...... Would not it be boring?
下面，我们就来说说 8 道有趣且常见的菜名。	xiàmiàn，wǒmenjìuláishuōshuō 8 dàoyǒuqùqiěchángjiàndecàimíng。	Here, we are concerned that eight interesting and common name of the dish.
首先我们来说蚂蚁上树这道菜。	shǒuxiānwǒmenláishuōmǎyǐshàngshùzhèdàocài。	First ants on the tree for us. Dish.
乍听起来，有些吓人，是不是？	zhàtīngqǐlái，yǒuxiēxiàrén，shìbùshì？	May sound, some scary, is not it?
别担心，这道菜其实和蚂蚁或树并没有直接的关系。	biédànxīn，zhèdàocàiqíshíhémǎyǐhuòshùbìngméiyǒuzhíjiēdeguānxì。	Do not worry, in fact, this dish ants and trees or no direct relationship.
它的主料其实是粉丝和肉末（通常是猪肉或牛肉）。	tādezhǔliàoqíshíshìfěnsīhéròumò（tōngchángshìzhūròuhuòníuròu）。	Its main ingredient is actually fans and minced meat (usually pork or beef).
肉末是指切得很小、很碎的肉；粉丝是用绿豆等制成的线状的食物。	ròumòshìzhǐqiēdéhěnxiǎo、hěnsùideròu；fěnsīshìyònglv̀dòuděngzhìchéngdexiànzhuàngdeshíwù。	Minced meat means cut very small, it is minced meat; fans is made of a linear food green beans.
所以从外形来看，肉末就像蚂蚁，而粉丝像树枝。	suǒyǐcóngwàixíngláikàn，ròumòjìuxiàngmǎyǐ，érfěnsīxiàngshùzhī。	Therefore, from the appearance point of view, minced meat like ants, but fans like tree branches.
因肉末贴在粉丝上，形似蚂蚁爬在树枝上而得名。	yīnròumòtiēzàifěnsīshàng，xíngsìmǎyǐpázàishùzhīshàngérdémíng。	Because of minced meat attached to the fans, the shape of ants crawling on the branches named.
我们不得不佩服取这道菜名的人的想象力！	wǒmenbùdébùpèifúqǔzhèdàocàimíngderéndexiǎngxiànglì！	We have to admire people take the name of this dish imagination!
这道菜口味稍有些辣，据说它起源于四川、重庆一带。	zhèdàocàikǒuwèishāoyǒuxiēlà，jùshuōtāqǐyuányúsìchuān、zhòngqìngyīdài。	This dish tastes a little spicy some said it originated in Sichuan and Chongqing area.
再让我们来看第二道毛血旺。	zàiràngwǒmenláikàndìèrdàomáoxiěwàng。	Let us look at the second road Xuewang. 
这也是个听起来挺吓人的菜名。	zhèyěshìgètīngqǐláitǐngxiàréndecàimíng。	This is also a sound scary dish.
但其实它的名字和蚂蚁上树相比还是比较直白的。	dànqíshítādemíngzìhémǎyǐshàngshùxiāngbǐhuánshìbǐjiàozhíbáide。	But in fact its name and ants on the tree Compared quite straightforward.
毛不是指毛发，而是指毛肚，也就是牛的胃；血旺是动物的血加盐直接加热凝固而成的食品。	máobùshìzhǐmáofā，érshìzhǐmáodù，yějìushìníudewèi；xiěwàngshìdòngwùdexiějiāyánzhíjiējiārènínggùérchéngdeshípǐn。	Mao does not mean the hair, but to Duck, which is the stomach of cattle; blood-wang is the blood of animals made of solidified salt direct heating food.
常见的血旺是由鸭血、鸡血、猪血制作而成的。	chángjiàndexiěwàngshìyóuyāxiě、jīxiě、zhūxiězhìzuòérchéngde。	Common blood-wang is made from duck, chicken, pig made.
而这道菜里的血旺一般用的是鸭血。	érzhèdàocàilǐdexiěwàngyībānyòngdeshìyāxiě。	The dish is generally busy in the blood using a duck.
这道菜起源于重庆，属于麻辣口味。	zhèdàocàiqǐyuányúzhòngqìng，shǔyúmálàkǒuwèi。	This dish originated in Chongqing, is the spicy taste.
所以如果不喜欢吃动物内脏或不能吃辣的朋友得注意了，不要误点了它！	suǒyǐrúguǒbùxǐhuānchīdòngwùnèizānghuòbùnéngchīlàdepéngyǒudézhùyìle，bùyàowùdiǎnletā！	So if you do not like to eat animal organs can not eat spicy food or friends have to pay attention, not delayed it!
下面我们来看第三道菜红烧狮子头。	xiàmiànwǒmenláikàndìsāndàocàihóngshāoshīzǐtóu。	Here we look at third dish braised lion head. 
虽然在中国我们有吃鸭头、鱼头的习惯，但要说吃狮子的头那倒还不至于。	sūiránzàizhōngguówǒmenyǒuchīyātóu、yútóudexíguàn，dànyàoshuōchīshīzǐdetóunàdǎohuánbùzhìyú。	Although we have to eat duck, fish head habit in China, but to say that would be to eat the lion's head is still not.
这道菜其实和狮子一点关系都没有，而是因为成品形似狮子头而得名。	zhèdàocàiqíshíhéshīzǐyīdiǎnguānxìdūméiyǒu，érshìyīnwèichéngpǐnxíngsìshīzǐtóuérdémíng。	In fact, the relationship between a lion and a little dish are not, but because the finished shape of lion head named.
它的主料是猪肉。	tādezhǔliàoshìzhūròu。	Its main ingredient is pork.
是将有肥有瘦的猪肉末和蔬菜做成丸子，先炸后煮而成。	shìjiāngyǒuféiyǒushòudezhūròumòhéshūcàizuòchéngwánzǐ，xiānzhàhòuzhǔérchéng。	There is a fat have lean pork and vegetable balls made late, after the first fry cook together.
这道菜来自淮扬。	zhèdàocàiláizìhuáiyáng。	From Huaiyang dish.
下面我们要说的这道菜也许会是今天听起来最恐怖的菜名了吧——夫妻肺片。	xiàmiànwǒmenyàoshuōdezhèdàocàiyěxǔhùishìjīntiāntīngqǐláizùikǒngbùdecàimíngleba——fūqīfèipiàn。	Let's say this dish might be the most horrible dish today sounds right - Fuqifeipian. 
从字面上看来这道菜的主料应该是一对夫妻的肺。	cóngzìmiànshàngkànláizhèdàocàidezhǔliàoyìnggāishìyīdùifūqīdefèi。	Literally it seems should be the main ingredient of this dish a couple lungs.
其实不然，它的主料只是牛肉和牛杂。	qíshíbùrán，tādezhǔliàozhǐshìníuròuhéníuzá。	In actual fact, it's just the main ingredient of beef and offal.
它是一道凉菜，属于麻辣口味。	tāshìyīdàoliángcài，shǔyúmálàkǒuwèi。	It is a cold dish, are spicy taste.
牛杂是指牛的内脏，比如牛心、牛舌、牛肚等。	níuzáshìzhǐníudenèizāng，bǐrúníuxīn、níushé、níudùděng。	It refers to the internal organs of cattle offal, such as beef heart, tongue, tripe and so on.
那么，这个匪夷所思2的菜名又是怎么得来的呢？	nàyāo，zhègèfěiyísuǒsī2decàimíngyòushìzěnyāodéláidení？	So, this incredible 2 dish is how come it?
20 世纪 30 年代，成都有一对郭氏夫妻以制售凉拌肺片为业，他们俩走街串巷，提篮叫卖。	20 shìjì 30 niándài，chéngdūyǒuyīdùiguōshìfūqīyǐzhìshòuliángbànfèipiànwèiyè，tāmenliǎzǒujiēchuànxiàng，tílánjiàomài。	1930s, Chengdu has a pair of husband and wife to Kuo selling cold lung slices for the industry, the two of them street, basket selling.
由于选用牛肉铺的边角料做食材，价格便宜、味道好，颇受欢迎。	yóuyúxuǎnyòngníuròupūdebiānjiǎoliàozuòshícái，jiàgébiànyí、wèidàohǎo，pǒshòuhuānyíng。	As the use of leftover beef shop to do food, cheap, tasty, popular.
人们就将这种凉拌牛杂称为夫妻废片。	rénmenjìujiāngzhèzhǒngliángbànníuzáchēngwèifūqīfèipiàn。	Such people will be called cold offal couple outtakes. 
废是废物的废。	fèishìfèiwùdefèi。	Waste waste waste. 
后来，因为废片二字不好听，再加上食材中有牛肺片，他们便取‘废’的谐音‘肺’，改名为夫妻肺片。	hòulái，yīnwèifèipiànèrzìbùhǎotīng，zàijiāshàngshícáizhōngyǒuníufèipiàn，tāmenbiànqǔ‘fèi’dexiéyīn‘fèi’，gǎimíngwèifūqīfèipiàn。	Later, because the waste film word did not sound good, plus the ingredients in cattle lung slices, they take 'waste' homonym 'lung', changed its name to Fuqifeipian.
再后来，他们发现牛肺的口感不好，便取消了它。	zàihòulái，tāmenfāxiànníufèidekǒugǎnbùhǎo，biànqǔxiāoletā。	Later, they found a bad taste bovine lung, they canceled it.
所以现在这道菜虽然仍叫夫妻肺片，但里面一般是没有牛肺的。	suǒyǐxiànzàizhèdàocàisūiránréngjiàofūqīfèipiàn，dànlǐmiànyībānshìméiyǒuníufèide。	So now this dish, though still called Fuqifeipian, but there is generally no cow lung.
第五道菜的名字听起来有些不文雅——撒尿牛丸。	dìwǔdàocàidemíngzìtīngqǐláiyǒuxiēbùwényǎ——sāniàoníuwán。	The fifth course name sounds a bit indelicate - pee beef ball. 
它其实是由牛肉和濑尿虾做成的牛丸。	tāqíshíshìyóuníuròuhélàiniàoxiāzuòchéngdeníuwán。	It is actually made of beef and beef ball mantis shrimp.
濑尿虾又称虾爬子、皮皮虾、虾姑、撒尿虾，这道菜因此而得名；还有种说法是说根据丸子的自身特点，丸中带汤，吃时一咬汤汁四溅，形象比喻为撒尿牛丸。	làiniàoxiāyòuchēngxiāpázǐ、pípíxiā、xiāgū、sāniàoxiā，zhèdàocàiyīncǐérdémíng；huányǒuzhǒngshuōfǎshìshuōgēnjùwánzǐdezìshēntèdiǎn，wánzhōngdàitāng，chīshíyīyǎotāngzhīsìjiàn，xíngxiàngbǐyùwèisāniàoníuwán。	Mantis shrimp also known as shrimp crawling child, Pippi shrimp shrimp Kou pee shrimp dish hence the name; there are kinds of argument is to say according to their characteristics balls, pills with soup, eat when a bite soup scattered, metaphor for the pee beef balls.
撒尿牛丸的特点是外层弹性十足，内陷鲜美、嫩滑。	sāniàoníuwándetèdiǎnshìwàicéngdànxìngshízú，nèixiànxiānměi、nènhuá。	Pee beef balls is characterized by the outer layer of flexible, retraction tasty, tender.
听说它的正宗做法是用两支 3 斤重的铁棒捶打约两万六千八百下以将牛肉以蛮力碎筋。	tīngshuōtādezhèngzōngzuòfǎshìyòngliǎngzhī 3 jīnzhòngdetiěbàngchúidǎyuēliǎngwànlìuqiānbābǎixiàyǐjiāngníuròuyǐmánlìsùijīn。	I heard it's authentic approach is to use two 3-pound iron bar to beat at 16,800 to about two beef ribs broken with brute force.
这道菜起源于清朝顺治年间的江南古镇松江，由王氏家族经过特殊工艺和配方精心研制而成，后因王家后人辗转3到香港，逐渐成为香港有名的小吃。	zhèdàocàiqǐyuányúqīngzhāoshùnzhìniánjiāndejiāngnángǔzhènsōngjiāng，yóuwángshìjiāzújīngguòtèshūgōngyìhépèifāngjīngxīnyánzhìérchéng，hòuyīnwángjiāhòurénzhǎnzhuǎn3dàoxiānggǎng，zhújiànchéngwèixiānggǎngyǒumíngdexiǎochī。	This dish originated in the southern town of Songjiang between the Qing Junji years, Wang's family through a special process and recipes from well-developed, due to the royal descendants removed 3 to Hong Kong, Hong Kong has become the famous snack.
第六道菜口水鸡听起来也有些不雅，其实是一道很好吃的菜。	dìlìudàocàikǒushǔijītīngqǐláiyěyǒuxiēbùyǎ，qíshíshìyīdàohěnhǎochīdecài。	The sixth course saliva chicken sounds somewhat indecent, in fact, it is a delicious dish.
